## Audit History Log

| Date       | Commit      | Report File                            | Summary                                                        |
| 2026-03-01 | c687a54 | audit-20260301-213737-lazy-loading.md | Lazy-loading subagent JSONL content (v2.1.63+ async_launched format) via new useSubagentContent hook and lazyLoad prop. Task notification parsing with TaskNotificationCard UI (status icons, collapsible results). AgentPanel/BackgroundAgentPanel/SubAgentPanel updated. New /api/sessions/:dir/:file/subagents/agent-:agentId.jsonl endpoint required. CONDITIONAL PASS — HIGH: API endpoint + ARCHITECTURE.md updates needed. Tests passing. |
| 2026-03-06 | c687a54 | audit-20260306-c687a54.md | Thinking Effort feature: --effort flag (low/medium/high), SessionSetupPanel + StatsPanel effort selectors, effortArgs tracked in PersistentSession, new EFFORT_OPTIONS in utils. Backward-compatible, all tests passing. CONDITIONAL PASS — README.md + ARCHITECTURE.md require minor updates (1-5 lines total). |
| 2026-03-06 | 8ce4e40 | audit-20260306T151937Z-8ce4e40.md | File Changes UI Redesign: New /api/cogpit-search route, GroupedFileCard component, computeNetDiff() utility (multiset-based net-diff across edits), EditDiffView line gutters, custom FOCUS_FILE_EVENT for cross-panel file navigation. All backward-compatible. CONDITIONAL PASS — ARCHITECTURE.md + QUICK_REFERENCE.md require API table updates (~20 lines total). |
| 2026-03-06 | c687a54 | audit-20260306T172049Z-c687a54.md | File Changes Panel Redesign: Per-edit diff toggle (DiffMode: "net"↔"per-edit"), SubAgentIndicator on files modified by sub-agents, IndividualEdit interface, GroupedFile extended with hasSubAgent/subAgentId/edits, file sort by last-modified turn, line numbers removed from EditDiffView, OPEN_SUBAGENT_EVENT custom event + listener in App.tsx. All backward-compatible, 1194 tests pass. CONDITIONAL PASS — README.md + ARCHITECTURE.md + QUICK_REFERENCE.md require moderate updates (~65-90 lines total). |
| 2026-03-06 | c687a54 | audit-20260306T192700Z-c687a54.md | Session renaming feature, FileChangesPanel turn nav & diff fixes, tests added. PASS — no blocking doc updates needed. |
| 2026-03-06 | e31fc48 | audit-20260306T205218Z-e31fc48.md | UI Layout & Styling Refactoring: DesktopHeader h-11→h-8, SessionInfoBar icon-only buttons, FileChangesPanel moved to full-height ResizablePanel (70/30 split), StickyPromptBanner blue redesign, SessionBrowser tabs text-only, HeaderIconButton size reduction h-7→h-6. Pure visual/layout changes, zero functional/API changes, all backward-compatible. PASS — ARCHITECTURE.md layout diagram recommended update (optional). |
| 2026-03-07 | PLACEHOLDER | audit-20260307T001000Z-PLACEHOLDER.md | Comprehensive UI Redesign: ChatGPT-style floating input with Inter font + adaptive multiline, ChatInputSettings component (model/effort/worktree), settings relocated from StatsPanel sidebar to below input, dynamic padding/scroll compensation for TODO panel expansion, Shiki syntax highlighting for Read results, sessions sorted newest-first, compact_boundary system message support (v2.1.34+), in-progress compaction detection via subagent polling, file changes route refactoring. All backward-compatible, 611 insertions/422 deletions. CONDITIONAL PASS — README.md + ARCHITECTURE.md require moderate updates (~50-70 lines). |
| 2026-03-07 | PLACEHOLDER | audit-20260307-PLACEHOLDER-shadcn-v4-migration.md | shadcn v0→v4 migration: Radix UI replaced with Base UI across 37 UI components. Dependencies: @radix-ui/* (7 pkgs) removed, @base-ui/react + @fontsource-variable/geist + shadcn@4 + tw-animate-css added. State attrs: data-state→data-open/closed, Slot removed, componentization refined. All component APIs preserved, zero breaking changes. CONDITIONAL PASS — README.md + ARCHITECTURE.md Tech Stack sections require updates (~1-25 lines). |
| 2026-03-08 | PLACEHOLDER | audit-20260308T040952Z-PLACEHOLDER.md | POST /api/notify: New system notification hook receiver with 5s throttle, dual-registered, complete. MCP selector: 60% complete (McpDropdown UI component exists; useMcpServers hook + /api/mcp-servers route + App.tsx wiring + session pipeline plumbing pending per plan). Pre-existing features (SessionInputFooter, ToolUseIcon redesign, StatusIcons) = no doc impact. CONDITIONAL PASS — CRITICAL: ARCHITECTURE.md API routes table must add /api/notify entry (1 line). MCP feature completion needed for full integration (~5hrs work). |
| 2026-03-07 | f61a43f | (git log entry) | fix: always-mounted server discovery, collapsed panel default, and compaction status handling
| 2026-03-11 | PLACEHOLDER | audit-PLACEHOLDER-fab-scroll-to-bottom.md | Scroll-to-bottom FAB button expanded to desktop. Uses fixed positioning on mobile, absolute on desktop. Pure layout change, no behavior/API changes. PASS — no doc updates needed.
